store_number,store_name,city,county,category_name,year,month,num_transactions,total_bottles,total_sales,total_volume_liters,avg_bottle_price
2000,Hy-Vee #2000,Des Moines,Polk,SPICED RUM,2017,1,27,86,1383.07,131.97,16.41
2000,Hy-Vee #2000,Des Moines,Polk,SINGLE MALT SCOTCH,2017,1,3,5,194.88,3.47,35.57
2000,Hy-Vee #2000,Des Moines,Polk,IMPORTED VODKA,2017,1,14,28,881.71,17.66,35.05
2000,Hy-Vee #2000,Des Moines,Polk,VODKA 80 PROOF,2017,1,63,94,2530.5,93.0,31.43
2000,Hy-Vee #2000,Des Moines,Polk,WHITE RUM,2017,1,3,8,437.52,12.76,44.51
2000,Hy-Vee #2000,Des Moines,Polk,TENNESSEE WHISKIES,2017,1,30,50,511.76,86.93,8.93
2000,Hy-Vee #2000,Des Moines,Polk,STRAIGHT BOURBON WHISKIES,2017,1,28,68,1838.08,92.89,31.82
2000,Hy-Vee #2000,Des Moines,Polk,COFFEE LIQUEURS,2017,1,6,11,266.42,15.26,26.71
2000,Hy-Vee #2000,Des Moines,Polk,SPICED RUM,2017,2,19,29,1143.76,46.88,36.05
2000,Hy-Vee #2000,Des Moines,Polk,SINGLE MALT SCOTCH,2017,2,4,7,129.82,12.08,15.14
2000,Hy-Vee #2000,Des Moines,Polk,IMPORTED VODKA,2017,2,5,15,557.1,11.33,40.03
2000,Hy-Vee #2000,Des Moines,Polk,VODKA 80 PROOF,2017,2,24,51,1242.01,67.5,24.69
2000,Hy-Vee #2000,Des Moines,Polk,WHITE RUM,2017,2,4,7,281.86,11.23,37.15
2000,Hy-Vee #2000,Des Moines,Polk,TENNESSEE WHISKIES,2017,2,8,20,528.31,29.35,26.66
2000,Hy-Vee #2000,Des Moines,Polk,STRAIGHT BOURBON WHISKIES,2017,2,19,63,1143.06,80.14,17.71
2000,Hy-Vee #2000,Des Moines,Polk,COFFEE LIQUEURS,2017,2,2,7,302.11,4.37,40.38
2000,Hy-Vee #2000,Des Moines,Polk,SPICED RUM,2017,3,23,75,1170.59,51.96,15.2
2000,Hy-Vee #2000,Des Moines,Polk,SINGLE MALT SCOTCH,2017,3,4,15,149.68,24.08,10.02
2000,Hy-Vee #2000,Des Moines,Polk,IMPORTED VODKA,2017,3,65,146,1090.97,204.27,8.86
2000,Hy-Vee #2000,Des Moines,Polk,VODKA 80 PROOF,2017,3,36,81,1721.18,50.08,19.87
2000,Hy-Vee #2000,Des Moines,Polk,WHITE RUM,2017,3,4,8,330.7,10.58,36.5
2000,Hy-Vee #2000,Des Moines,Polk,TENNESSEE WHISKIES,2017,3,7,15,513.87,21.88,39.24
2000,Hy-Vee #2000,Des Moines,Polk,STRAIGHT BOURBON WHISKIES,2017,3,21,39,1409.28,38.81,35.63
2000,Hy-Vee #2000,Des Moines,Polk,COFFEE LIQUEURS,2017,3,8,26,314.37,30.84,10.46
2000,Hy-Vee #2000,Des Moines,Polk,SPICED RUM,2017,4,21,51,1531.68,49.12,35.56
2000,Hy-Vee #2000,Des Moines,Polk,SINGLE MALT SCOTCH,2017,4,2,8,141.23,13.8,14.41
2000,Hy-Vee #2000,Des Moines,Polk,IMPORTED VODKA,2017,4,15,29,710.68,35.56,22.6
2000,Hy-Vee #2000,Des Moines,Polk,VODKA 80 PROOF,2017,4,20,53,1930.67,63.78,34.76
2000,Hy-Vee #2000,Des Moines,Polk,WHITE RUM,2017,4,14,25,260.15,30.11,8.9
2000,Hy-Vee #2000,Des Moines,Polk,TENNESSEE WHISKIES,2017,4,12,37,628.57,64.48,19.41
2000,Hy-Vee #2000,Des Moines,Polk,STRAIGHT BOURBON WHISKIES,2017,4,64,92,1017.07,47.82,11.7
2000,Hy-Vee #2000,Des Moines,Polk,COFFEE LIQUEURS,2017,4,5,8,236.69,7.1,30.59
2000,Hy-Vee #2000,Des Moines,Polk,SPICED RUM,2017,5,49,100,1773.11,78.36,15.01
2000,Hy-Vee #2000,Des Moines,Polk,SINGLE MALT SCOTCH,2017,5,2,5,209.49,3.41,37.01
