num_transactions,total_bottles,total_volume_liters,avg_bottle_price,month_sin,month_cos,log_volume,cat_BLENDED WHISKIES,cat_CANADIAN WHISKIES,cat_IMPORTED VODKA,cat_Other,cat_SCOTCH WHISKIES,cat_SPICED RUM,cat_STRAIGHT BOURBON WHISKIES,cat_TENNESSEE WHISKIES,cat_TEQUILA,cat_VODKA 80 PROOF,cat_WHISKEY LIQUEUR
10,32,22.09,40.73,0.49999999999999994,0.8660254037844387,3.139399623366404,0,0,0,0,0,0,0,0,0,1,0
6,12,14.65,34.39,0.8660254037844386,0.5000000000000001,2.750470916986162,0,0,0,1,0,0,0,0,0,0,0
38,67,112.68,41.87,-0.5000000000000004,0.8660254037844384,4.733387483788845,0,0,0,0,0,0,0,0,0,0,1
4,10,7.65,29.57,0.8660254037844386,0.5000000000000001,2.157559320943788,0,0,0,1,0,0,0,0,0,0,0
43,80,116.83,17.96,-0.4999999999999997,-0.8660254037844388,4.769242907725249,0,1,0,0,0,0,0,0,0,0,0
4,16,27.47,34.57,0.8660254037844387,-0.4999999999999998,3.3488509012899463,0,0,1,0,0,0,0,0,0,0,0
6,11,12.51,42.19,-0.8660254037844386,0.5000000000000001,2.6034301519721073,0,0,0,0,0,1,0,0,0,0,0
121,259,428.02,23.7,0.8660254037844387,-0.4999999999999998,6.0615035378879565,0,0,0,0,0,0,0,0,0,1,0
139,229,295.18,15.17,-0.8660254037844384,-0.5000000000000004,5.690967377609358,0,1,0,0,0,0,0,0,0,0,0
15,36,60.97,14.63,-0.4999999999999997,-0.8660254037844388,4.126650396974016,0,0,0,1,0,0,0,0,0,0,0
4,7,6.81,31.41,-0.5000000000000004,0.8660254037844384,2.0554049638515943,0,0,0,0,0,0,0,0,1,0,0
17,27,28.19,20.83,0.49999999999999994,-0.8660254037844387,3.3738261848660236,0,0,0,0,0,0,0,0,0,0,1
6,9,5.67,41.71,-0.8660254037844386,0.5000000000000001,1.8976198599275325,1,0,0,0,0,0,0,0,0,0,0
48,69,62.92,25.48,-2.4492935982947064e-16,1.0,4.157632301458019,0,0,0,0,0,0,1,0,0,0,0
3,7,7.45,22.2,-0.8660254037844384,-0.5000000000000004,2.1341664413690826,0,0,0,1,0,0,0,0,0,0,0
50,156,180.21,37.73,1.2246467991473532e-16,-1.0,5.199656579724066,0,0,0,0,0,0,0,0,0,0,1
13,21,20.27,8.54,0.49999999999999994,-0.8660254037844387,3.0572976292121457,0,0,0,1,0,0,0,0,0,0,0
9,19,14.28,22.63,-0.8660254037844386,0.5000000000000001,2.7265447837383743,0,0,0,1,0,0,0,0,0,0,0
5,12,20.62,41.84,-1.0,-1.8369701987210297e-16,3.073618812211062,0,0,0,1,0,0,0,0,0,0,0
3,8,12.37,25.38,-0.8660254037844386,0.5000000000000001,2.5930133911138515,0,0,0,1,0,0,0,0,0,0,0
2,4,6.26,38.38,-0.5000000000000004,0.8660254037844384,1.9823798288367047,0,0,0,1,0,0,0,0,0,0,0
29,53,68.33,35.18,0.49999999999999994,-0.8660254037844387,4.238877712954399,0,0,0,0,0,0,0,0,0,1,0
26,54,65.55,26.64,-0.5000000000000004,0.8660254037844384,4.197953544841121,0,0,0,0,0,1,0,0,0,0,0
14,25,26.64,42.96,-2.4492935982947064e-16,1.0,3.319263998899469,0,0,0,1,0,0,0,0,0,0,0
31,95,107.34,19.69,-0.4999999999999997,-0.8660254037844388,4.685274430229753,0,0,0,0,0,0,1,0,0,0,0
31,76,86.05,15.76,0.8660254037844387,-0.4999999999999998,4.466482666214198,0,1,0,0,0,0,0,0,0,0,0
12,19,19.94,13.83,-1.0,-1.8369701987210297e-16,3.041661205442391,0,0,0,1,0,0,0,0,0,0,0
1,2,2.82,34.16,0.8660254037844386,0.5000000000000001,1.3402504226184837,0,0,0,1,0,0,0,0,0,0,0
10,17,10.06,15.83,0.8660254037844386,0.5000000000000001,2.4033349960941885,0,0,0,1,0,0,0,0,0,0,0
4,9,7.17,32.84,1.2246467991473532e-16,-1.0,2.1004689088719113,0,0,0,1,0,0,0,0,0,0,0
1,2,3.35,34.32,0.49999999999999994,0.8660254037844387,1.4701758451005928,0,0,0,1,0,0,0,0,0,0,0
6,13,22.06,29.66,-1.0,-1.8369701987210297e-16,3.138099514840913,0,0,0,1,0,0,0,0,0,0,0
2,6,9.22,28.16,-2.4492935982947064e-16,1.0,2.3243465847755584,0,0,0,1,0,0,0,0,0,0,0
1,6,7.66,18.64,1.0,6.123233995736766e-17,2.1587147225743437,0,0,0,0,1,0,0,0,0,0,0
88,138,147.44,10.85,0.49999999999999994,0.8660254037844387,5.0001808361923965,0,0,0,0,0,0,0,0,0,1,0
18,34,26.77,11.26,-1.0,-1.8369701987210297e-16,3.323956301318708,0,0,0,1,0,0,0,0,0,0,0
10,25,22.99,32.08,0.8660254037844386,0.5000000000000001,3.177637076851603,0,0,0,0,0,0,0,0,1,0,0
51,113,63.77,11.71,1.0,6.123233995736766e-17,4.170842533194826,0,0,0,0,0,0,0,0,0,1,0
53,109,162.47,22.19,0.8660254037844387,-0.4999999999999998,5.096629487263117,0,1,0,0,0,0,0,0,0,0,0
23,67,71.07,30.94,-1.0,-1.8369701987210297e-16,4.27763786893635,0,0,0,0,0,0,0,0,0,1,0
8,23,34.9,9.01,0.49999999999999994,0.8660254037844387,3.580737295494233,0,0,0,1,0,0,0,0,0,0,0
32,47,78.41,19.16,0.8660254037844387,-0.4999999999999998,4.37462430490712,0,0,0,0,0,0,1,0,0,0,0
111,206,180.16,26.19,-2.4492935982947064e-16,1.0,5.199380618688013,0,0,0,0,0,0,0,0,0,0,1
41,110,106.87,11.39,-0.5000000000000004,0.8660254037844384,4.680926798387338,0,0,0,0,0,0,0,0,0,0,1
26,57,44.34,44.55,-0.5000000000000004,0.8660254037844384,3.814189645079383,0,0,0,0,0,0,0,0,0,0,1
19,48,66.05,10.8,-0.8660254037844386,0.5000000000000001,4.205438609727688,0,0,0,0,1,0,0,0,0,0,0
