year_month,rmse,r2,mae,n_samples,drift_detected,model_version,retrained,promoted,production_r2,candidate_r2
2020-01,486.79,0.83,268.41,581,False,1,False,False,0.8335,
2020-02,382.05,0.85,262.28,581,False,1,False,False,0.8536,
2020-03,509.28,0.83,282.51,581,False,1,False,False,0.8334,
2020-04,594.44,0.79,301.8,581,True,2,True,True,0.7904,0.8006
2020-05,669.08,0.78,352.95,581,True,3,True,True,0.7789,0.7819
2020-06,671.01,0.82,350.37,581,False,3,False,False,0.8195,
2020-07,709.6,0.78,364.81,581,True,4,True,True,0.7798,0.7888
2020-08,506.92,0.86,314.7,581,False,4,False,False,0.8601,
2020-09,514.95,0.83,295.25,581,False,4,False,False,0.8317,
2020-10,508.03,0.85,303.45,581,False,4,False,False,0.8454,
2020-11,645.75,0.81,349.47,581,False,4,False,False,0.8118,
2020-12,791.26,0.77,403.51,581,True,5,True,True,0.7676,0.7761
2021-01,515.51,0.81,284.3,581,False,5,False,False,0.8099,
2021-02,407.42,0.86,273.35,581,False,5,False,False,0.8567,
2021-03,456.77,0.84,284.07,581,False,5,False,False,0.8444,
2021-04,560.0,0.81,304.01,581,False,5,False,False,0.8081,
2021-05,630.8,0.81,354.84,581,False,5,False,False,0.8084,
2021-06,726.62,0.77,362.65,581,True,6,True,True,0.7706,0.7756
2021-07,659.26,0.81,351.2,581,False,6,False,False,0.8116,
2021-08,662.36,0.79,365.51,581,True,7,True,True,0.7858,0.7887
2021-09,482.52,0.86,306.92,581,False,7,False,False,0.8592,
2021-10,656.21,0.81,335.88,581,False,7,False,False,0.8134,
2021-11,581.94,0.83,340.87,581,False,7,False,False,0.8317,
2021-12,713.65,0.81,397.33,581,False,7,False,False,0.8129,
